,date,times,end,vols
0,20160217,905,23520,700250
1,20160217,910,23500,107750
2,20160217,915,23500,89450
3,20160217,920,23460,73250
4,20160217,925,23400,525600
5,20160217,930,23400,50700
6,20160217,935,23500,183100
7,20160217,940,23500,33000
8,20160217,945,23500,52600
9,20160217,950,23580,143800
10,20160217,955,23540,290300
11,20160217,1000,23540,40150
12,20160217,1005,23540,44850
13,20160217,1010,23560,76450
14,20160217,1015,23560,45300
15,20160217,1020,23560,73150
16,20160217,1025,23560,61200
17,20160217,1030,23560,102400
18,20160217,1035,23560,94050
19,20160217,1040,23580,166900
20,20160217,1045,23600,156100
21,20160217,1050,23580,99650
22,20160217,1055,23600,154250
23,20160217,1100,23580,107550
24,20160217,1105,23580,228100
25,20160217,1110,23580,76900
26,20160217,1115,23580,54150
27,20160217,1120,23600,151250
28,20160217,1125,23600,83450
29,20160217,1130,23580,52400
30,20160217,1135,23580,56050
31,20160217,1140,23600,62100
32,20160217,1145,23640,149450
33,20160217,1150,23620,132050
34,20160217,1155,23600,52650
35,20160217,1200,23580,90950
36,20160217,1205,23580,50350
37,20160217,1210,23620,83850
38,20160217,1215,23600,45500
39,20160217,1220,23620,110500
40,20160217,1225,23640,93200
41,20160217,1230,23640,74600
42,20160217,1235,23660,98100
43,20160217,1240,23680,227100
44,20160217,1245,23700,64850
45,20160217,1250,23700,108800
46,20160217,1255,23580,361900
47,20160217,1300,23540,182900
48,20160217,1305,23560,39400
49,20160217,1310,23560,33950
50,20160217,1315,23540,72200
51,20160217,1320,23560,231700
52,20160217,1325,23580,78050
53,20160217,1330,23580,81050
54,20160217,1335,23620,97750
55,20160217,1340,23640,126950
56,20160217,1345,23640,156400
57,20160217,1350,23700,355300
58,20160217,1355,23760,327750
59,20160217,1400,23840,340700
60,20160217,1405,23880,284450
61,20160217,1410,24000,458400
62,20160217,1415,23980,797400
63,20160217,1420,23900,214700
64,20160217,1425,23880,331200
65,20160217,1430,23800,216000
66,20160217,1435,23800,160200
67,20160217,1440,23680,327450
68,20160217,1445,23660,420250
69,20160217,1450,23680,330450
70,20160217,1500,23700,659300
71,20160218,905,23800,1065400
72,20160218,910,23780,176250
73,20160218,915,23800,224050
74,20160218,920,23860,151000
75,20160218,925,23880,78300
76,20160218,930,23860,74050
77,20160218,935,23920,81150
78,20160218,940,23920,139400
79,20160218,945,23980,68050
80,20160218,950,23980,115950
81,20160218,955,23880,201000
82,20160218,1000,23900,25950
83,20160218,1005,23900,146450
84,20160218,1010,23880,110800
85,20160218,1015,23860,76450
86,20160218,1020,23840,405950
87,20160218,1025,23880,42100
88,20160218,1030,23780,235400
89,20160218,1035,23800,76700
90,20160218,1040,23620,1806800
91,20160218,1045,23720,324750
92,20160218,1050,23740,60000
93,20160218,1055,23780,66950
94,20160218,1100,23800,60000
95,20160218,1105,23800,49700
96,20160218,1110,23760,61350
97,20160218,1115,23740,56250
98,20160218,1120,23780,57550
99,20160218,1125,23840,69450
100,20160218,1130,23820,50150
101,20160218,1135,23840,79900
102,20160218,1140,23840,102500
103,20160218,1145,23840,44400
104,20160218,1150,23840,42350
105,20160218,1155,23800,76500
106,20160218,1200,23820,39250
107,20160218,1205,23820,38050
108,20160218,1210,23820,99950
109,20160218,1215,23820,43500
110,20160218,1220,23820,73550
111,20160218,1225,23840,43350
112,20160218,1230,23820,49850
113,20160218,1235,23820,50800
114,20160218,1240,23800,139850
115,20160218,1245,23800,34450
116,20160218,1250,23780,80700
117,20160218,1255,23780,51100
118,20160218,1300,23800,47750
119,20160218,1305,23680,140100
120,20160218,1310,23700,89000
121,20160218,1315,23700,26350
122,20160218,1320,23780,48050
123,20160218,1325,23760,39800
124,20160218,1330,23760,70700
125,20160218,1335,23780,48550
126,20160218,1340,23800,63500
127,20160218,1345,23780,63500
128,20160218,1350,23800,106700
129,20160218,1355,23820,72700
130,20160218,1400,23840,64200
131,20160218,1405,23760,210150
132,20160218,1410,23780,124800
133,20160218,1415,23800,89850
134,20160218,1420,23760,228550
135,20160218,1425,23820,138300
136,20160218,1430,23820,171750
137,20160218,1435,23760,78150
138,20160218,1440,23740,124950
139,20160218,1445,23700,93800
140,20160218,1450,23640,191100
141,20160218,1500,23740,1061550
