,date,times,start,high:,low,end,vols
0,20200615,905,51400,51600,51300,51400,1914914
1,20200615,910,51400,51600,51200,51300,739232
2,20200615,915,51300,51500,51200,51400,642686
3,20200615,920,51400,51500,51300,51400,543911
4,20200615,925,51400,51600,51300,51600,509909
5,20200615,930,51600,51600,51400,51400,338125
6,20200615,935,51500,51600,51400,51500,365967
7,20200615,940,51500,51600,51500,51500,137064
8,20200615,945,51500,51600,51300,51400,421074
9,20200615,950,51300,51500,51300,51400,346637
10,20200615,955,51400,51500,51300,51300,136131
11,20200615,1000,51300,51400,51200,51300,343895
12,20200615,1005,51200,51400,51200,51300,226909
13,20200615,1010,51400,51400,51200,51300,270666
14,20200615,1015,51300,51400,51200,51200,208088
15,20200615,1020,51200,51300,51200,51300,131917
16,20200615,1025,51300,51400,51200,51300,318340
17,20200615,1030,51400,51400,51300,51300,176145
18,20200615,1035,51300,51400,51300,51400,92792
19,20200615,1040,51400,51500,51300,51500,317483
20,20200615,1045,51400,51500,51400,51400,83293
21,20200615,1050,51400,51600,51400,51600,520464
22,20200615,1055,51500,51800,51500,51600,586009
23,20200615,1100,51700,52000,51600,51900,409537
24,20200615,1105,52000,52000,51700,51800,371021
25,20200615,1110,51700,51900,51700,51800,149731
26,20200615,1115,51900,52000,51800,51900,262499
27,20200615,1120,51800,51900,51700,51800,285703
28,20200615,1125,51800,51800,51600,51700,204915
29,20200615,1130,51600,51700,51600,51700,53152
30,20200615,1135,51600,51700,51600,51700,42631
31,20200615,1140,51700,51700,51500,51500,210886
32,20200615,1145,51500,51700,51500,51700,203780
33,20200615,1150,51700,51700,51500,51500,126334
34,20200615,1155,51600,51600,51500,51500,56300
35,20200615,1200,51500,51600,51400,51400,276315
36,20200615,1205,51400,51500,51400,51500,55300
37,20200615,1210,51500,51600,51400,51600,136358
38,20200615,1215,51600,51600,51500,51500,82311
39,20200615,1220,51600,51600,51500,51500,30484
40,20200615,1225,51600,51600,51500,51600,48822
41,20200615,1230,51500,51600,51500,51600,46531
42,20200615,1235,51600,51600,51500,51500,38102
43,20200615,1240,51600,51600,51500,51500,58175
44,20200615,1245,51600,51600,51400,51500,363335
45,20200615,1250,51500,51600,51400,51500,79589
46,20200615,1255,51600,51600,51400,51400,85893
47,20200615,1300,51400,51500,51400,51400,54508
48,20200615,1305,51400,51500,51400,51500,53408
49,20200615,1310,51500,51500,51400,51500,50621
50,20200615,1315,51400,51500,51300,51400,360828
51,20200615,1320,51300,51500,51300,51400,219267
52,20200615,1325,51400,51500,51300,51400,172539
53,20200615,1330,51400,51400,51300,51300,58462
